Date,amount,Purchase,Category,Link
5/13/13,23425,Cameras,Surveillance,16953.pdf
5/13/13,8500,lexis nexis,Routine,16959.pdf
5/16/13,32000,Internal Audits,Routine,16961.pdf
5/21/13,13039.86,Cell phone service,Routine,16968.pdf
5/21/13,27579.88,Cell phone service,Routine,16969.pdf
5/22/13,410815.33,Car Rentals,Routine,16973.pdf
6/4/13,6650.14,,Unknown,
6/4/13,214600,,Unknown,
6/4/13,121361.19,,Unknown,
6/10/13,6652.25,,Unknown,
6/19/13,8500,lexis nexis,Routine,17015.pdf
7/1/13,6446.05,,Unknown,
7/1/13,15487.36,,Unknown,
7/1/13,31368.23,,Unknown,
7/15/13,174174.52,,Unknown,
7/17/13,6752,lexis nexis,Routine,17046.pdf
8/7/13,7932.09,Cell phone service,Routine,17071.pdf
8/7/13,10071.6,REDACTED,Unknown,17075.pdf
8/21/13,8500,lexis nexis,Routine,17086.pdf
8/22/13,9435.07,Cell phone service,Routine,17087.pdf
9/11/13,41134.6,Car Rentals,Routine,17109.pdf
9/11/13,14620.23,car repair and seizure,Routine,17110.pdf
9/13/13,13300.5,lexis nexis,Routine,17113.pdf
9/19/13,8500,lexis nexis,Routine,17119.pdf
9/24/13,6750.5,lexis nexis,Routine,17123.pdf
10/15/13,17992,,Unknown,
10/17/13,8500,lexis nexis,Routine,17140.pdf
10/18/13,8688.6,Training and Equipment,Routine,17143.pdf
10/18/13,6732.5,lexis nexis,Routine,17144.pdf
10/22/13,23201.16,Cell phone service,Routine,17145.pdf
11/1/13,137171.67,Cell phone metadata,Surveillance,17151.pdf
11/15/13,15432.81,Cell phone service,Routine,17174.pdf
11/21/13,8500,lexis nexis ,Routine,17181.pdf
11/22/13,31782.3,Cell phone service,Routine,17185.pdf
12/2/13,8500.25,lexis nexis ,Routine,17189.pdf
12/5/13,10964.67,car repair and seizure,Routine,17200.pdf
12/10/13,6819.5,lexis nexis ,Routine,17208.pdf
12/24/13,8500,lexis nexis,Routine,17219.pdf
1/3/14,15040.93,Cell phone service,Routine,17222.pdf
1/9/14,52974.05,Cell phone service,Routine,17232.pdf
1/10/14,66052.59,Cell phone service,Routine,17233.pdf
1/13/14,24488.25,Car Rentals,Routine,17236.pdf
1/16/14,6633.75,lexis nexis,Routine,17244.pdf
1/16/14,14662.84,Cell phone service,Routine,17247.pdf
1/21/14,11987.2,narcotics destruction,Routine,17251.pdf
1/23/14,8500,lexis nexis,Routine,17253.pdf
1/24/14,106579.24,Car Rentals,Routine,17256.pdf
2/3/14,10431.3,REDACTED,Unknown,17265.pdf
2/3/14,15114.78,,Unknown,
2/3/14,19766.37,Cell phone service,Routine,17268.pdf
2/4/14,6558.5,Lexis Nexis,Routine,17269.pdf
2/21/14,8500,Lexis Nexis,Routine,17279.pdf
2/21/14,15414.01,Cell phone service,Routine,17282.pdf
3/4/14,105786.85,Car Rentals,Routine,17305.pdf
3/4/14,17749.55,Cell phone service,Routine,17306.pdf
3/7/14,71175.5,Computers,Routine,17310.pdf
3/11/14,13110,computer purchase,Routine,17312.pdf
3/13/14,6644.5,Lexis Nexis,Routine,17315.pdf
3/19/14,14912.77,Cell phone service,Routine,17326.pdf
3/21/14,104374.06,Car Rentals,Routine,17334.pdf
3/21/14,17750.53,Cell phone service,Routine,17335.pdf
3/25/14,6552.75,lexis nexis,Routine,17338.pdf
4/2/14,13422,Computers,Routine,17353.pdf
4/14/14,9600,DEA Conference,Routine,17360.pdf
4/14/14,15265.66,Cell phone service,Routine,17384.pdf
4/16/14,19081.35,car repair and seizure,Routine,17387.pdf
4/17/14,17764.48,Cell phone service,Routine,17394.pdf
4/23/14,8500.25,lexis nexis,Routine,17399.pdf
5/1/14,101222.13,Car Rentals,Routine,17417.pdf
5/8/14,59670,Computers,Routine,17427.pdf
5/20/14,8500,lexis nexis,Routine,17451.pdf
5/20/14,385008,Squad cars,Routine,17452.pdf
5/27/14,6489.25,lexis nexis,Routine,17461.pdf
6/3/14,104609.93,Car Rentals,Routine,17474.pdf
6/3/14,14465.05,Cell phone service,Routine,17475.pdf
6/3/14,17770.69,Cell phone service,Routine,17489.pdf
6/3/14,6460,lexis nexis,Routine,17490.pdf
6/11/14,14763.59,Cell phone service,Routine,17512.pdf
6/18/14,8500,lexis nexis,Routine,17517.pdf
6/18/14,17756.08,Cell phone service,Routine,17519.pdf
6/18/14,7615.91,Narcotics Field Testing Kit,Routine,17520.pdf
6/23/14,512910,Squad cars,Routine,17521.pdf
6/24/14,7493.75,GPS Trackers,Surveillance,17524.pdf
7/1/14,102805,Car Rentals,Routine,17529.pdf
7/1/14,9300,Computers,Routine,17534.pdf
7/9/14,8500,lexis nexis,Routine,17541.pdf
7/9/14,6485,lexis nexis,Routine,17543.pdf
7/16/14,14991.51,Cell phone service,Routine,17548.pdf
7/22/14,7739,Money Counter,Routine,17557.pdf
7/23/14,8500,lexis nexis,Routine,17559.pdf
7/23/14,14434.4,car repair and seizure,Routine,17561.pdf
7/23/14,105160.15,Car Rentals,Routine,17562.pdf
7/25/14,17969.6,Cell phone service,Routine,17563.pdf
8/4/14,5790.5,Lexis Nexis,Routine,17578.pdf
8/19/14,5630.34,Narcotics Destruction,Routine,17607.pdf
8/20/14,103346.1,Car Rentals,Routine,17612.pdf
9/3/14,8500,lexis nexis,Routine,17616.pdf
9/3/14,5882,Lexis Nexis,Routine,17623.pdf
9/3/14,15400.25,Cell phone service,Routine,17625.pdf
9/8/14,7715.04,Narcotics Destruction,Routine,17628.pdf
